molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL2391589,O=C(NCc1cccnc1)Oc1ccc(S(=O)(=O)N2CCCCC2)cc1,4800.0,intermediate
CHEMBL2391583,O=C(NCc1ccc(F)cc1)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,2000.0,intermediate
CHEMBL2391556,O=S(=O)(NCc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,1800.0,intermediate
CHEMBL2391549,CN(Cc1cccnc1)C(=O)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,1800.0,intermediate
CHEMBL2391582,O=C(NCc1cccc(F)c1)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,1504.0,intermediate
CHEMBL2391550,O=C(CCc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,1247.0,intermediate
CHEMBL2391591,O=C(COc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,1213.0,intermediate
CHEMBL2391551,CC(NC(=O)Nc1ccc(S(=O)(=O)c2ccccc2)cc1)c1cccnc1,930.0,active
CHEMBL2391582,O=C(NCc1cccc(F)c1)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,756.0,active
CHEMBL2391744,NS(=O)(=O)c1ccc(NC(=S)NCc2cccnc2)cc1,630.0,active
CHEMBL2391590,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)OCc1cccnc1,525.0,active
CHEMBL1801864,CC(C)=CCN(Cc1cc2c(=O)n(C)nnc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,0.5,active
CHEMBL2391591,O=C(COc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,476.0,active
CHEMBL2391579,O=C(NCc1ccccc1)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,470.0,active
CHEMBL2391590,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)OCc1cccnc1,205.0,active
CHEMBL2391550,O=C(CCc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,195.0,active
CHEMBL2391568,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CC3CCC(C2)O3)cc1,171.0,active
CHEMBL2391586,O=C(NCC1CCc2nccn2C1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,130.0,active
CHEMBL2391582,O=C(NCc1cccc(F)c1)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,121.0,active
CHEMBL2391568,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CC3CCC(C2)O3)cc1,83.0,active
CHEMBL2391591,O=C(COc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,82.0,active
CHEMBL2391576,O=C(NCc1cccnc1)Nc1ccc(Oc2ccccc2)cc1,80.0,active
CHEMBL2391550,O=C(CCc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,64.0,active
CHEMBL2391559,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCC2)cc1,60.0,active
CHEMBL2391561,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1,59.0,active
CHEMBL2391590,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)OCc1cccnc1,51.0,active
CHEMBL2391578,O=C(NCc1cccnc1)Nc1ccc(C(=O)N2CCCCC2)cc1,49.0,active
CHEMBL2391587,O=C(NCc1ccc(-n2ccnc2)nc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,41.0,active
CHEMBL2391582,O=C(NCc1cccc(F)c1)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,39.0,active
CHEMBL2391582,O=C(NCc1cccc(F)c1)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,34.0,active
CHEMBL2391591,O=C(COc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,33.0,active
CHEMBL2391567,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1,31.0,active
CHEMBL2391582,O=C(NCc1cccc(F)c1)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,30.0,active
CHEMBL2391558,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,30.0,active
CHEMBL2391550,O=C(CCc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,28.0,active
CHEMBL2391591,O=C(COc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,27.0,active
CHEMBL2391581,O=C(NCc1ccccc1F)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,26.0,active
CHEMBL2391555,O=C(NCc1ccc(S(=O)(=O)N2CCCCC2)cc1)Nc1cccnc1,25.0,active
CHEMBL2391590,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)OCc1cccnc1,24.0,active
CHEMBL2391584,O=C(NCc1cncc(F)c1)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,24.0,active
CHEMBL2391575,O=C(NCc1cccnc1)Nc1ccc(Sc2ccc(Cl)cc2)cc1,24.0,active
CHEMBL2391550,O=C(CCc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,21.0,active
CHEMBL2391568,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CC3CCC(C2)O3)cc1,19.0,active
CHEMBL2391554,O=C(NCc1ccc(S(=O)(=O)N2CCCCC2)cc1)NCc1cccnc1,19.0,active
CHEMBL2391577,O=C(NCc1cccnc1)Nc1ccc(C(=O)c2ccccc2)cc1,17.0,active
CHEMBL2391590,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)OCc1cccnc1,16.0,active
CHEMBL2391590,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)OCc1cccnc1,15.0,active
CHEMBL2391562,CCN(CC)S(=O)(=O)c1ccc(NC(=O)NCc2cccnc2)cc1,14.0,active
CHEMBL2391568,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CC3CCC(C2)O3)cc1,13.0,active
CHEMBL2391591,O=C(COc1cccnc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,12.0,active
CHEMBL2391566,NC(=O)C1CCN(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)CC1,12.0,active
CHEMBL2391563,CC1CCCCN1S(=O)(=O)c1ccc(NC(=O)NCc2cccnc2)cc1,11.0,active
CHEMBL2391580,Nc1cccc(CNC(=O)Nc2ccc(S(=O)(=O)c3ccccc3)cc2)c1,11.0,active
CHEMBL2391568,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CC3CCC(C2)O3)cc1,10.0,active
CHEMBL2391553,O=C(NCCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,10.0,active
CHEMBL2391564,CC1CCCN(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)C1,9.0,active
CHEMBL2391560,CCCCNS(=O)(=O)c1ccc(NC(=O)NCc2cccnc2)cc1,9.0,active
CHEMBL2391568,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CC3CCC(C2)O3)cc1,7.0,active
CHEMBL2391573,Cn1cc(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)cn1,7.0,active
CHEMBL2391570,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,7.0,active
CHEMBL1586371,O=S(=O)(c1ccc(NC(=S)NCc2cccnc2)cc1)N1CCCCC1,7.0,active
